ð ə; the
f ˈ i l ɪ k s; felix
ˈ ɛ k s ɪ t ɝ; exeter
ˌ æ d æ p t ˈ eɪ ʃ ə n z; adaptations
ɹ ɪ z ˈ ɛ m b ə l z; resembles
s ə b m ˈ ɪ t; submit
b ə t ˈ æ n ɪ k ə l; botanical
h ˈ ɛ l ə n ə; helena
m ˈ ɔɪ s t; moist
t ɹ ˈ aɪ ə m f; triumph
p ɹ ˈ oʊ z; pro's pros pros' prose
n ˈ eɪ t ɪ v z; natives
h ˈ æ m; hahm ham hamm hamme
s l ˈ oʊ v æ k; slovak
ə b ˈ æ n d ə n; abandon
k ˌ i ˈ ɛ v; kiev
t ə m ˈ eɪ t oʊ z; tomatoes
d ɪ s ˈ aɪ s ɪ v; decisive
k ə l ˈ ɛ k t ɪ v l i; collectively
ˌ ɪ n k ˈ ɔ ɹ p ɝ ˌ eɪ t ɪ ŋ; incorporating
k ɹ ˈ i t͡ʃ ɝ; creature
f ˈ ɔ ɹ ə s t ɹ i; forestry
ˈ ɑ p t ɪ d; opted
k ə n s ˈ ɛ p ʃ ə n; conception
ɹ ˈ eɪ s t; raced
m ˈ eɪ k ɝ z; maker's makers makers'
d ɪ f ˈ ʌ ŋ k t; defunct
ɪ k s p l ˈ ɔ ɹ ɪ ŋ; exploring
b ˈ æ t ə l f ˌ i l d; battlefield
k ɹ ˈ ɑ n ɪ k ə l z; chronicle's chronicles
ɪ k s k l ˈ u d ɪ ŋ; excluding
ɹ ˈ ɛ p ɝ t w ˌ ɑ ɹ; repertoire
b ˈ ɔ ɹ ɪ s; boris boris' borris
ˌ ɪ m j ˈ u n; immune
f ˈ ɪ n ɪ ʃ ɪ z; finishes
g ˈ æ m b ə l ɪ ŋ; gambling
k ə m p l ˈ eɪ n d; complained
h ˈ ɝ m ə n; herman hermann hermon
k ˈ ɝ v z; curves
ɹ ˈ eɪ g ə n; ragan reagan
ɪ v ˈ æ k j ə w ˌ eɪ t ɪ d; evacuated
k j ˈ ʊ ɹ; cure
ˈ eɪ d ɑ l f; adolf
g ˈ u ɹ ˌ u; guru
t oʊ j ˈ oʊ t ə; toyota
k ə l ˈ ɪ ʒ ə n; collision
ɹ ˈ aɪ n; rhein rhine rhyne rine
t ˈ æ s k t; tasked
d͡ʒ ɪ m n ˈ æ s t ɪ k s; gymnastics
ɹ ˈ ɛ d z; reds reds'
l ˈ æ t v i ə; latvia
p j ˈ ʊ ɹ l i; purely
s ˈ ʌ p l ə m ə n t; supplement
ˈ æ k s ə d ə n t s; accident's accidents
d͡ʒ ˈ ɔ ɹ d͡ʒ ə z; george's georges georgia's
k ˈ ʌ m f ɝ t; comfort
k ˌ ʌ t ˈ ɑ ɹ; qatar
f ɝ g ˈ ɑ t ə n; forgotten
f ɹ ˈ oʊ z ə n; frozen
s k ˈ ɑ t s; scots scott's scotts
d ˈ aʊ n s t ɹ ˈ i m; downstream
ɹ ˈ i k ə n; rican rieken
ʃ ˈ ɑ ɹ k s; sharks
ɛ m p l ˈ ɔɪ; employ
b ˈ i s t; beast
n ˈ u k l i ə s; nucleus
k ˈ æ t ə l ɔ g; catalog
v ˈ ɔ l t; vault
d͡ʒ ˈ ɔ ɹ d͡ʒ t ˌ aʊ n; georgetown
t͡ʃ ˈ ɔ k l ə t; chocolate
ˌ aɪ s ə l ˈ eɪ ʃ ə n; isolation
d ˈ i m ə n; daemon deman demon
m oʊ b ˈ ɪ l ə t i; mobility
ɹ ˈ ɛ d ə l i; readily
ˈ oʊ θ; oath
ˈ ɑ l m ə; alma
m ˈ oʊ t ə v ˌ eɪ t ə d; motivated
s w ˈ ɪ t͡ʃ ɪ ŋ; switching
f ˌ ɪ l h ˌ ɑ ɹ m ˈ ɑ n ɪ k; philharmonic
ˌ ɪ n k ˈ ɔ ɹ p ɝ ˌ eɪ t s; incorporates
t ˈ ɑ m s ə n; thomson tomson
m ˈ ɔ ɹ t ə n; morten morton
ɹ i z ˈ ɑ l v; resolve
t ˈ aɪ m l aɪ n; timeline
ɹ ˈ ʌ ʃ t; rushed
ɛ n k ˈ ʌ m p ə s ə z; encompasses
h ˈ ʌ ŋ; hung
ɹ ˈ ɪ v ɝ s ˌ aɪ d; riverside
k ˈ ɑ n t ˌ æ k t ɪ d; contacted
ˈ ɪ m ə d͡ʒ ɹ i; imagery
b ˈ ɪ t s; bits bitz
ˈ æ f g ˌ æ n; afghan
t ɹ ˈ eɪ t s; traits
w ˈ ɑ n t ɪ ŋ; wanting
s ˈ ʌ m w ˌ ɛ ɹ; somewhere
f j ˈ u d; feud
d ˈ ɪ l ə n; dhillon dillan dillen dillon dylan
l ˈ æ n d m ˌ ɑ ɹ k s; landmark's landmarks
d ˈ ʌ b ə l d; doubled
s ˈ ɝ k ə; circa
t ˈ ɛ l ə s k ˌ oʊ p; telescope
m ə d ˈ ɑ n ə; madonna
k ˈ æ ʃ m ɪ ɹ; kashmir
ɪ k s p l ˈ oʊ s ɪ v; explosive
f ɹ ˈ i m ə n; freeman freemon frieman
d͡ʒ ˈ æ n ə t; janet
d ˈ i ə t i; deity
j ˌ ʊ ɹ ə p ˈ i ə n z; europeans europeans'
ˈ æ l b i ə n; albion
ˈ æ t l ə s; atlas
b ɹ ˈ aʊ n z; brown's browns browns'
p ɹ ˈ aʊ d; proud
s ˈ u p ɝ v ˌ aɪ z d; supervised
k l ˈ ʌ s t ɝ z; clusters
ʃ ˈ ɪ p j ˌ ɑ ɹ d; shipyard
v ˈ æ k j u m; vacuum
ɹ ˈ ʌ ʃ ə n z; russian's russians russians'
k ˈ ɝ k; kirch kirk kurk
k ə l ˈ oʊ n; cologne
d ˌ ɪ s ˈ aɪ d ɪ ŋ; deciding
s p ˈ oʊ k s m ə n; spokesman
k ə m p ˈ ɛ ɹ ə t ɪ v; comparative
k ə n s ˈ u m d; consumed
f l ˈ ɛ k s ə b ə l; flexible
k ˈ aʊ n t ɝ p ˌ ɑ ɹ t; counterpart
t ˈ ɔɪ z; toy's toys toys'
f ˈ ɪ l ɪ ŋ; filling
ɹ ɪ m ˈ ɑ ɹ k t; remarked
w ɛ ɹ b ˈ aɪ; whereby
d ɪ s t ɹ ˈ ɔɪ ɝ z; destroyers
ˈ oʊ v ɝ s ˌ ɔ; oversaw
s p ˈ ɝ; spur spurr
ˌ æ n θ ɹ ə p ˈ ɑ l ə d͡ʒ i; anthropology
t ˈ ɪ m ə θ i; timothy
k ə l ˈ ʌ m b i ə n; colombian
s ə m ˈ ɛ n t; cement
l ˈ aɪ n d; lined
f ˈ æ k t oʊ; facto
ɹ ˈ i k ˌ ɔ l; recall
m ˈ aɪ s; meiss mice
k ə d ˈ ɛ t; cadet
f ˈ ʌ ŋ k ʃ ə n ɪ ŋ; functioning
ˌ ʌ n d ɝ g ˈ oʊ; undergo
s ˈ æ l i; sallee salley sallie sally
m ˈ ɑ n s t ɝ z; monsters
ˌ ɪ n g ɹ ˈ i d i ə n t s; ingredients
d u ˈ ɛ t; duet
t ˈ i m m ˌ eɪ t s; teammates
k ə n t ˌ ɪ n j u ˈ eɪ ʃ ə n; continuation
b ɹ ˈ æ n d ɪ d; branded
w ˈ ɪ z d ə m; wisdom
t ɹ ˈ eɪ d ɝ z; trader's traders traders'
ˈ ɛ n s u ɪ ŋ; ensuing
s t ɹ ˈ ɛ ŋ θ ə n; strengthen
ˈ ɛ k s b ˌ ɑ k s; xbox
s ə k s ˈ ɛ s ə z; successes
s ˈ æ k t; sacked
b ɹ ˈ ɪ t ə n z; britain's britains britons britons'
m ˌ ɑ n t ə n ˈ eɪ g ɹ oʊ; montenegro
t ˈ æ l ə n t s; talents
f ˈ aɪ v j ˌ ɪ ɹ; five-year
k ə m b ˈ aɪ n z; combines
k ə m p ˈ æ t ə b ə l; compatible
θ ˈ ɛ f t; theft
ɹ ə b ˈ ɛ k ə; rebecca
d oʊ n ˈ eɪ ʃ ə n; donation
d͡ʒ ˈ i n ˌ oʊ m; genome
s ˈ ɑ f m ˌ ɔ ɹ; sophomore
b ɹ ˈ eɪ k d ˌ aʊ n; breakdown
v ˈ ɛ d͡ʒ t ə b ə l z; vegetables
p ɹ ˈ ɛ s t; pressed prest
j u n ˈ æ n ə m ə s; unanimous
d ɹ ə m ˈ æ t ɪ k l i; dramatically
t ˈ ɛ l ə v ˌ aɪ z d; televised
ˈ ɔ t ə m ˌ eɪ t ɪ d; automated
ˌ ʌ n ɪ k s p ˈ ɛ k t ɪ d; unexpected
ə s ˈ u m ɪ ŋ; assuming
b ɹ ˈ æ n d ə n; branden brandon
k ə n f ˈ aɪ n d; confined
ʃ ˈ aɪ ɹ; shire
w ˈ ɪ n t͡ʃ ˌ ɛ s t ɝ; winchester
k ˈ ɑ n f l u ə n s; confluence
p ɹ ˈ ɛ z ɪ d ə n t s; president's presidents'
k ˈ ʌ m f ɝ t ə b ə l; comfortable
ˈ ɪ n m ˌ eɪ t s; inmate's inmates
d͡ʒ ˈ ɛ f ɹ i; geoffrey jeffrey jeffry
p ˈ æ t ə n t s; patents
p ˈ ɛ ɹ d; paired pared
ɹ ɪ f l ˈ ɛ k ʃ ə n; reflection
d ˈ ɑ ɹ w ɪ n; darwin
ˈ ɪ ɹ i; eary eerie erie
k ˈ aʊ; cao cau cow kao kau kough
d ɪ l ˈ ɪ b ɝ ə t l i; deliberately
d ɪ k l ˈ aɪ n ɪ ŋ; declining
k ɹ ˈ eɪ n; crain craine crane crayne krain krane krein
ˈ aɪ ɹ ə; ira
n ˈ i g ɹ oʊ; negro
θ ɹ ˈ ɛ t ə n ɪ ŋ; threatening
p ˈ æ s t ɝ ə l; pastoral
l ˈ ʌ n d ə n z; london's
g ˈ ɑ n d i; gandhi ghandi
ˌ ɪ n h ˈ ɛ ɹ ə t ə n s; inheritance
b ˈ ɝ g ə n; bergan bergen
t ə l ˈ i d oʊ; toledo
ˈ æ b ə t; abbot abbott
s w ˈ ɔ ɹ n; sworn
ˌ ɪ n t ˈ ɛ n s ɪ v; intensive
l ˈ ʌ k; luck lucke luk
ˈ æ n s ˌ ɛ s t ɝ; ancestor
ˌ ɛ k s p ə z ˈ ɪ ʃ ə n; exposition
ˈ ɑ ɹ i ə; aria
d ɪ f ˈ ɔ l t; default
b ɛ l ˈ ɑ ɹ ə s; belarus
ɹ ə d ˈ u s ə z; reduces
ˌ ɪ n t ˈ ɝ d; interred
ˌ ɪ n s t ɹ ˈ ʌ k t ə d; instructed
p ˈ ɪ ɹ s; pearce peirce pierce
d ˈ ɑ d͡ʒ ɝ z; dodger's dodgers dodgers'
ˈ ɑ ɹ p ˈ i ˈ ɛ m; rpm
k ˈ ɑ l ə m n ə s t; columnist
k ə m p ˈ i t s; competes
p ˈ ɪ s t ə l; pistil pistol
ˈ ɛ θ ɪ k ə l; ethical
t͡ʃ ˈ æ n; chan
s ˈ ɪ n d ɪ k ˌ eɪ t ɪ d; syndicated
ɹ ɪ l ˈ i v d; relieved
ˈ æ ʃ l i; ashley
s t ɹ ˈ i m ɪ ŋ; streaming
f ˈ ɛ m ə n ə n; feminine
ə k ɹ ˌ ɛ d ə t ˈ eɪ ʃ ə n; accreditation
k ˈ ɪ n d ɝ g ˌ ɑ ɹ t ə n; kindergarten
d͡ʒ ˈ u d eɪ ˌ ɪ z ə m; judaism
t ˈ æ k s i; taxi
æ k s ˈ ɛ p t ə b ə l; acceptable
b ˈ ɑ t ə l; bottel bottle
p ˈ i t ɝ z; peeters peter's peters pieters
s m ˈ ɪ θ s; smith's smiths
t ɹ ˈ i t m ə n t s; treatments
w ˈ ʊ l v z; wolves
t ɹ ˌ ʌ s t ˈ i; trustee
k ˌ ɑ n s ə n t ɹ ˈ eɪ ʃ ə n z; concentrations
v oʊ k ˈ eɪ ʃ ə n ə l; vocational
m oʊ h ˈ æ m ɪ d; mohammed
p ˈ æ θ w ˌ eɪ; pathway
h ˈ eɪ t i; haiti
ˈ æ t ə m z; atoms
g ˌ ɛ ɹ ə n t ˈ i d; guaranteed
k ˈ æ s t ɹ oʊ; castro
k ə m p l ˈ aɪ ə n s; compliance
d ˈ ʌ t͡ʃ ə s; duchess
l ˈ ɪ b ˌ i ə; libya
ˌ ɑ ɹ k ə p ˈ ɛ l ə g ˌ oʊ; archipelago
l ˈ u s l i; loosely
n oʊ t ˈ ɔ ɹ i ə s; notorious
k ˌ æ m b ˈ oʊ d i ə; cambodia
v ˈ aɪ ɹ ə l; viral
s t ˈ æ t ɪ k; static
s ə f ˈ ɪ s t ə k ˌ eɪ t ɪ d; sophisticated
d ˈ ɪ k s ə n; dickson dixon dixson
d ɪ s ə b ˈ ɪ l ə t i z; disabilities
d ˈ ɑ ɹ k ɝ; darker
d ˈ ɛ l ə; dela della
n ˈ ɛ ɹ eɪ t ɝ; narrator
æ k s ˈ ɛ p t s; accepts
m ˈ ɑ b; mob
s k ˈ ɛ t͡ʃ ə z; sketches
m ˈ eɪ l eɪ; malay
p ɹ ˌ oʊ ə b ˈ ɪ ʃ ə n; prohibition
n ə g ˈ oʊ ʃ i ˌ eɪ t ə d; negotiated
ə n k ˈ ɑ m ə n; uncommon
t ˈ ɛ ɹ z; tears
m ˈ ɑ n ɪ k ə; monica
ʃ ˈ oʊ k ˌ eɪ s; showcase
p ə z ˈ ɪ ʃ ə n d; positioned
f ˈ ɔ ɹ t ə f ˌ aɪ d; fortified
t ˈ æ n; tan tann
l ə d͡ʒ ˈ ɪ s t ɪ k s; logistics
ʃ ˈ æ ɹ ə n; sharon sharron
s ɝ v ˈ aɪ v z; survives
d ɝ ˈ ɪ v ə t ɪ v; derivative
t ˈ ɛ n d ɪ d; tended
s w ˈ ɪ m ɝ; swimmer
d ɪ t ˌ ɝ m ə n ˈ eɪ ʃ ə n; determination
l ˈ u z ə z; loses
m ˈ ɪ n i; mini minney minnie minny
b ˈ ɑ ɹ ˌ oʊ d; borrowed
t ˈ aɪ m ɪ ŋ; timing
ˌ ɪ m p ˈ ɔ ɹ t; import
ɹ ˈ ɛ z ɪ d ə n s ɪ z; residences
k ˈ i b ˌ ɔ ɹ d z; keyboards
b ˈ eɪ z; baise baize bay's bayes bays bayse baze
v ˈ ɪ k ɝ; vicar vicker
h ˈ aɪ ɝ ˌ ɑ ɹ k i; hierarchy
d ɪ s k ɹ ˈ ɪ p ʃ ə n z; descriptions
f ˈ ɪ ʃ ɝ i z; fisheries
ˈ æ l g ɝ ˌ ɪ ð ə m z; algorithms
m ɔ ɹ t ˈ æ l ə t i; mortality
k ˈ oʊ l m ə n; coleman colman kohlman kohlmann
m ˈ u d; mood
ˌ æ k t ə v ˈ eɪ ʃ ə n; activation
g ɹ ˈ i k s; greeks
k w ˈ ɔ ɹ t ɝ l i; quarterly
ˌ ɪ n s t ə l ˈ eɪ ʃ ə n z; installations
ə s ˈ ɝ t ɪ d; asserted
t ˈ ɔ l ɪ s t; tallest
p ɹ ɪ p ˈ ɛ ɹ ə t ˌ ɔ ɹ i; preparatory
t͡ʃ ˈ æ p m ə n; chapman
ɛ n ʃ ˈ ʊ ɹ ɪ ŋ; ensuring
ˈ i t ə n; eaten eaton eton
p ˈ ɑ b l oʊ; pablo
t ɹ æ n z ˈ æ k ʃ ə n; transaction
t ˈ ɛ k n ɪ k ə l i; technically
m ˈ æ t͡ʃ ɪ ŋ; matching
æ n t ˈ ɪ s ə p ˌ eɪ t ɪ d; anticipated
g l ˈ ɔ s t ɝ; gloucester
f ə n ˈ ɑ m ə n ə; phenomena
s p ˈ ɛ ʃ ə l ˌ aɪ z ɪ ŋ; specializing
ʃ ˈ i k; chic sheek sheik sheikh
s p ˌ ɛ s ə f ə k ˈ eɪ ʃ ə n z; specifications
p ɹ ˈ i m i ə m; premium
ə b z ˈ ɝ v; observe
f ˈ eɪ θ f ə l; faithful
m ˈ ɪ d l ˌ æ n d z; midland's midlands
p ɹ ˈ ɛ z ə n t l i; presently
ʃ ˈ u t s; chutes schuetz schuetze shoots shutes
k ˈ ɑ n s ə l; consul
ˈ æ n s ɝ z; answer's answers
n ˈ ɔ ɹ d ɪ k; nordic
ˈ ɛ k s p ɔ ɹ t s; exports
m ˈ ɛ m ɝ ə b ə l; memorable
i m ˈ eɪ l; email
k ˈ aɪ; cai chi kai keye
ə m ˈ ɛ n d ɪ d; amended
d ˈ ɛ m ə n s t ɹ ˌ eɪ t ɪ ŋ; demonstrating
l ˈ aɪ f l ˈ ɔ ŋ; lifelong
ɪ k s p l ˈ ɪ s ə t; explicit explicite
ˈ ɛ m f ə s ˌ aɪ z d; emphasized
m ˈ ɛ t ɹ ɪ k; metric metrick
ɪ ɹ ˈ oʊ ʒ ə n; erosion
ˈ æ ʃ ə z; ashe's ashes
f l ˈ eɪ m z; flames
s ə b m ˈ ɪ ʃ ə n; submission
ˈ ɑ k j ə p ˌ aɪ z; occupies
ˌ æ k j ə z ˈ eɪ ʃ ə n z; accusations
k ˌ æ n b ˈ ɛ ɹ ə; canberra
w ˈ ɪ n s t ə n; winston
k ˌ ɑ n t ə n ˈ u ə t i; continuity
ɪ k s ˈ i d; exceed
s ˈ ɪ k s t i; sixty
k ɹ ˈ aɪ; cry crye
k ˈ ʌ p s; cup's cupps cups
ə b z ˈ ɝ v ɝ z; observers
p ɹ ˈ ɑ m ə s ə z; promises
ɹ ˈ ɪ b ə n; ribbon
p ˈ ɔ ɹ t ə b ə l; portable
ˈ ɑ p ɹ ə z; opera's operas
p ˈ ɝ s i; percy
ˌ ɪ n v ə n t ˈ ɔ ɹ i; inventory
b ˈ ɑ ɹ ə k; barack barak
f ˈ aɪ b ɝ; fiber fibre
s ˈ ɛ k ʃ u ə l i; sexually
ˈ aʊ t s k ˌ ɝ t s; outskirts
ˌ ɪ n v ˈ ɛ n t ɝ; inventor
k ˌ æ l k ˈ ʌ t ə; calcutta
s ˈ oʊ d i ə m; sodium
k ˈ eɪ n; cain caine cane cayne kain kaine kane kayne
ɹ ˈ oʊ l ə n d; roeland rohland roland rowland
ɹ ˈ aɪ d z; rides
v ˈ ɪ s k aʊ n t; viscount
p ˈ ɪ t͡ʃ ɪ ŋ; pitching
s ˌ ɪ m j ə l ˈ eɪ ʃ ə n; simulation
k l ˈ aɪ d; clyde
ˈ eɪ v ə; ava eva
h ˈ æ n ə; hana hanna hannah
h ˈ ɔ n d ə; honda
k ɑ s t ˈ u m z; costumes
b ˈ aɪ ə s; bias byas byus
ɹ ˈ ɑ ʒ; raj
z ˈ ɑ g ɹ ˌ ɛ b; zagreb
ɹ ə k ɹ ˈ u t; recruit
ɹ ˈ eɪ n d͡ʒ ɝ; ranger
ˌ æ s t ɹ ə n ˈ ɑ m ɪ k ə l; astronomical
ˈ ɪ n ɪ ŋ; inning
k w ˈ ɔ ɹ i; quarry
s ˈ ɔ f t b ˌ ɔ l; softball
ˌ æ l ɛ g z ˈ æ n d ɹ ə; alexandra
ˌ ɪ n s ə f ˈ ɪ ʃ ə n t; insufficient
ʃ ˈ eɪ n; shain shaine shane shayne
s w ˈ ɪ m; swim
k ə n t͡ʃ ˈ ɛ ɹ t oʊ; concerto
s ˈ aɪ k ə l ɪ s t; cyclist
g ˈ aɪ d z; guide's guides
f l ˈ ɛ t͡ʃ ɝ; fletcher
t͡ʃ ˈ ɝ t͡ʃ ə z; church's
s ˈ i l d; sealed
v ˈ aɪ k ɪ ŋ z; viking's vikings
ɹ ˈ aɪ l i; reilly riley ryley wryly
f ə n ˈ æ n ʃ ə l i; financially
g ˈ eɪ ɔ ɹ g; georg
h ˈ æ p i n ə s; happiness
h aɪ d ˈ ɛ ɹ ə b ˌ æ d; hyderabad
s ə l ˈ ɑ n; salon
ɹ ˌ i ə l ˈ ɪ s t ɪ k; realistic
s ˈ ɪ ŋ k ɪ ŋ; sinking
t͡ʃ ˈ æ d; chad chadd
ɹ i ˈ æ k t ɝ; reactor
ə k w ˈ aɪ ɹ ɪ ŋ; acquiring
l ə k ɹ ˈ ɔ s; la-crosse lacross lacrosse
k ˈ ɑ m ə d ˌ ɔ ɹ; commodore
b ˈ u d ə; buddha
æ n t ˈ ɛ n ə; antenna
v ˈ i z ə; visa
t ɹ ˈ ɪ k; trick
b ˈ ɝ n t; bernd berndt bernt burnt
ɹ ɪ l ˈ aɪ d; relied
s ˈ aɪ k ə l z; cycles
b ɹ ˈ ɑ ŋ k oʊ z; broncos
ə m ˈ i n oʊ; amino
s ˈ u d ə n ˌ ɪ m; pseudonym
d ɪ s p l ˈ eɪ s m ə n t; displacement
ɹ ˈ æ p ə d z; rapids
ˈ ɔ ɹ i ˌ ɛ n t ə d; oriented
d ə b ˈ eɪ t s; debate's debates
ˈ æ l p s; alps
d ˌ ɛ f ə n ˈ ɪ ʃ ə n z; definitions
m ˈ ɑ ɹ k ɝ; marker
b ˈ ɛ k; bec beck
p ˈ ɛ ɹ ə d i; paradee parody
ˈ aɪ k ɑ n; icahn icon ikon
ɹ ˈ oʊ p; rope
d ɪ v ˌ ɛ l ə p m ˈ ɛ n t ə l; developmental
b ˈ æ d m ˌ ɪ n t ə n; badminton
k ˈ ɑ ɹ s ə n; carson karson
s ˈ æ t ə s f ˌ aɪ d; satisfied
m ˈ ɪ d ə l s ˌ ɛ k s; middlesex
w ˈ ɛ b s t ɝ; webster
d i k ə m ˈ ɪ ʃ ə n d; decommissioned
d͡ʒ ˈ ɛ ʒ u ɪ t; jesuit
s ə b d͡ʒ ˈ ɛ k t ɪ d; subjected
p ə t ɹ ˈ ɪ ʃ ə; patricia
g ˌ ɑ ɹ s ˈ i ə; garcia
s t ˈ ɛ f ɑ n; stefan
ˌ ʌ n d ɝ n ˈ i θ; underneath
h ˈ i t ə d; heated
ə n j ˈ u ʒ ˌ u ə l i; unusually
p ɑ ɹ t ˈ ɪ s ə p ə n t; participant
ˈ æ d v ˌ ɛ n t; advent
p ɑ ɹ t ˈ ɪ ʃ ə n; partition
ˈ ʌ p s t ɹ ˈ i m; upstream
g ˈ ɑ ɹ d n ɝ; gardiner gardner
ə t ˈ ɑ p; atop
ˈ ɛ ɹ w ˌ eɪ z; airway's airways airways'
k ɝ ˈ ɛ k t l i; correctly
k j ʊ ɹ ˈ eɪ t ɝ; curator
ˈ ɪ n t ɝ v ə l; interval
d͡ʒ oʊ h ˈ æ n ə s; johannes
l ˈ eɪ b ə l d; labeled labelled
m aɪ n ˈ ɔ ɹ ə t i z; minorities
m ˈ æ k s w ˌ ɛ l; maxwell
ʃ ˈ ɑ ɹ k; shark
d ɪ k l ˈ ɛ ɹ ɪ ŋ; declaring
t ɹ ˈ eɪ s i; tracey traci tracie tracy treacy
ɔ l t ˈ ɝ n ə t ɪ v l i; alternatively
s ə f ˈ ɪ ʃ ə n t l i; sufficiently
t ˈ ɪ t͡ʃ ə l ɝ; titular
ˌ æ n t ˈ ɑ ɹ k t ɪ k ə; antarctica
p ˈ oʊ k ɝ; poker
ɪ k s p ˈ aɪ ɹ d; expired
ɪ m ˈ ɝ d͡ʒ ə n s; emergence
f ˈ ɪ ɹ z; fears
b ˈ ɛ t; bet bett
ˈ ɪ n s t ə n t; instant
s k ˈ u l ɪ ŋ; schooling
n ˈ æ ʃ; gnash nash
p ɹ ə m ˈ oʊ t s; promotes
ˈ æ n ə l ɪ s t; analyst
n ˈ aʊ ə d ˌ eɪ z; nowadays
m ˌ aɪ s ˈ ɛ l f; myself
h ɝ ˈ aɪ z ə n; horizon
f ˈ aɪ ɝ ˌ ɑ ɹ m z; firearms
b ˈ ʊ l d ˌ ɔ g z; bulldogs
h ˈ oʊ; ho hoe hoh
k ə f ˈ eɪ; cafe
n ɑ n p ɹ ˈ ɑ f ə t; nonprofit
b ˈ i t ə l z; beatles beatles' beetles
k ˈ ʌ b z; cubs cubs'
p ˈ ɪ k s; picks pix
g j ˌ u d͡ʒ ɝ ˈ æ t; gujarat
ˈ eɪ p ˌ ɛ k s; apec's apex
s ˈ ʌ f ɹ ɪ d͡ʒ; suffrage
w ˈ oʊ n t; won't wont
f ˈ ɛ n s; fence
æ l b ˈ ɝ t oʊ; alberto
d ɪ m ˈ aɪ z; demise
ə d ɹ ˈ ɛ s ɪ ŋ; addressing
p ˈ ɪ ɹ z; peers piers
ɹ i v ˈ ɪ ʒ ə n; revision
ˈ aʊ t l ˌ ɛ t; outlet
p ˌ ɝ s ə k j ˈ u ʃ ə n; persecution
ɹ ˈ ɪ t͡ʃ u ə l z; rituals
w ˈ aɪ t s; white's whites
k ˈ aʊ n t ə s; countess
h ˈ ɑ ɹ t f ɝ d; hartford
ˈ æ t ə t ˌ u d z; attitudes
n ˈ ɑ t s i z; nazi's nazis nazis'
l ˈ ʌ v ɝ z; lover's lovers lovers'
t͡ʃ ˈ æ n s ə z; chances
ɹ ɪ z ˈ aɪ d; reside
ˈ ɪ n s ˌ aɪ t; insight
ɹ ˌ ɛ f ɝ m ˈ eɪ ʃ ə n; reformation
d ə b ɹ ˈ i; debris dubree
p ˈ ɪ n; pin pinn
p ɹ i s ˈ ɪ ʒ ə n; precision
d͡ʒ ˈ ɝ m ə n i z; germany's germanys
l ˈ ɪ s ə n ɝ z; listeners
d͡ʒ ˈ ɪ n; gin ginn jin
ɹ ˈ ɛ s l ɝ z; wrestlers
ˈ oʊ v ɝ n ˈ aɪ t; overnight overnite
ɪ k s t ˈ ɛ n ʃ ə n z; extensions
s p ˈ eɪ ʃ ə l; spacial spatial
f j ˈ u s ə l ˌ ɑ d͡ʒ; fuselage
s t ˈ ʌ k; stuck stucke
ə n ˈ æ t ə m i; anatomy
l ˈ oʊ d ɪ ŋ; loading
n ˈ ʌ m b ɝ ɪ ŋ; numbering
ˈ eɪ d͡ʒ ɪ ŋ; aging
ˈ ɑ b ɝ n; auburn
k ˈ ʌ v ə n t ɹ i; coventry
b l ˈ ʌ d i; bloody
d ə n d ˈ i; dundee
t ɹ ˈ aʊ t; trout troutt
θ ɹ ˈ ɛ ʃ ˌ oʊ l d; threshold
s ˈ ʌ t ə n; sutton
m ˈ ɪ ŋ; ming
s ˈ i s ə l; cecil
g ˈ i d ˈ i p ˈ i; gdp
ɹ i n ˈ u ə b ə l; renewable
ˈ aɪ v ɝ i; ivery ivory
d ə p ˈ ɑ z ɪ t; deposit
d ˈ ɑ l f ə n z; dolphins dolphins'
t ɹ ˈ ɪ m; trim trimm
s l ˈ ɑ v ɪ k; slavic slavik
p ˈ ɪ ɹ ə m ɪ d; pyramid
m ˈ ɛ m w ˌ ɑ ɹ z; memoirs
t ɹ ˌ æ n s k ɹ ˈ ɪ p ʃ ə n; transcription
p ɹ ˈ ɛ v ə l ə n t; prevalent
s p ˈ æ n ɪ ŋ; spanning
k ˈ ɑ m p l ə m ə n t; complement
s ˈ æ d; sad
ə s ˈ ɛ s t; assessed
b ɹ ˈ i t͡ʃ; breach breech
s ˌ aɪ k i ˈ æ t ɹ ɪ k; psychiatric
v ə l ˈ ɛ n s i ə; valencia
d ˌ ɛ k ɝ ˈ eɪ ʃ ə n z; decorations
ˈ ɛ ɹ oʊ s p ˌ eɪ s; aerospace
ɪ k s p ˈ ɛ k t; expect
ˈ oʊ m ə h ˌ ɑ; omaha
p ɹ ə p ˈ ɔ ɹ ʃ ə n ə l; proportional
f ˌ ɔ ɹ t ə f ə k ˈ eɪ ʃ ə n z; fortifications
p ɹ ˈ aɪ ɝ i; priory
s ˈ u p ɝ m ə n; superman
v ˈ i n ə s; venous venus
l ˈ ɪ l i; liley lili lilley lilli lillie lilly lily
ɹ ə k ɹ ˈ u t ɪ ŋ; recruiting
s ˈ eɪ f l i; safely
ə n n ˈ eɪ m d; unnamed
s t ˈ oʊ k; stoke
l ˈ ʌ m b ɝ; lumber
d͡ʒ ˈ ɛ n j ə w ə n; genuine
ˌ ʌ n d ɝ w ˈ eɪ; underway
d ɪ l ˈ ɪ v ɝ ɪ ŋ; delivering
m ˈ ʌ n s t ɝ; munster
